場所,市区町村,設置タイプ,更新日時,状況,eNB-LCID,PCI,基地局ID,sector,sub6,ミリ波,緯度,経度
西条市大町③,西条市,屋上,2023/05/04 20:12:26,open,"737517-7,8,9","278,70,18",,3,,,33.918085,133.190132
西条市兎之山乙,西条市,コン柱,2023/06/13 21:09:03,open,"737514-10,11","54,200",,2,1,2,33.880256,133.16335
松山市山西町,松山市,コン柱,2022/06/01 00:00:00,open,"737282-4,5,6","24,25,26",,3,,,33.849767,132.733195
新居浜市松木町,新居浜市,コン柱,2023/04/16 11:11:37,open,"737491-4,5,6","363,152,370",,3,,,33.941627,133.29243
今治市玉川町龍岡下,今治市,コン柱,2022/12/15 22:38:03,close,,,,,,,33.99259,132.9136
上浮穴郡久万高原町直瀬,久万高原町,コン柱,2023/04/19 23:52:20,open,"737529-2,3,4","324,233,231",,3,,,33.706192,132.959651
西条市大浜,西条市,コン柱,2024/05/04 22:15:21,open,"737515-9,10","366,350",CBSB838000228,2,2,2,33.90663,133.228325
西条市小松町新屋敷②,西条市,コン柱,2023/03/21 18:02:09,open,"737522-2,3","232,188",,2,,,33.884417,133.110668
宇和島市高串①,宇和島市,コン柱,2022/06/01 00:00:00,open,"737343-1,2","357,358",,2,,,33.256842,132.573928
西宇和郡伊方町田部,伊方町,コン柱,2023/01/11 19:36:56,open,"737369-1,2,3","335,334,156",,3,,,33.428742,132.17773
上浮穴郡久万高原町黒藤川③,久万高原町,衛星,2023/04/27 20:02:05,open,742241-1,2,CBSB838001544,1,,,33.610839,133.019862
大洲市東宇山乙,大洲市,コン柱,2024/04/28 19:47:05,open,737609-1,273,CBSB838001419,1,,,33.561806,132.562917
南宇和郡愛南町御荘菊川,愛南町,コン柱,2024/04/29 22:03:13,open,737606-3,31,,1,,,32.99188,132.51584
今治市五十嵐,今治市,コン柱,2024/05/05 22:55:41,open,"737331-7,8,9","62,54,151",,3,,,34.025207,132.983912
大洲市長浜町下須戒,大洲市,コン柱,2023/03/17 22:26:22,open,"737500-6,7,8","222,224,223",,3,,,33.592029,132.495447
四国中央市金田町半田①,四国中央市,コン柱,2023/03/03 21:03:50,open,"737459-10,11,12","246,379,356",,3,,,33.993774,133.611346
西予市宇和町稲生,西予市,コン柱,2023/04/22 10:31:29,open,"737523-1,2,3","334,333,335",,3,,,33.354913,132.528807
松山市久万ノ台①,松山市,コン柱,2024/04/28 13:00:49,open,"737314-7,8,9","334,333,335",,3,,,33.861325,132.739088
伊予市三秋①,伊予市,コン柱,2024/04/28 12:25:34,open,737591-6,30,CBSB838001291,1,,,33.72238,132.67993
大洲市東大洲④,大洲市,コン柱,2023/03/17 22:27:26,open,"737545-1,2,3","158,157,157",,3,,,33.530523,132.573205
松山市束本一丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737314-10,11,12","71,70,69",,3,,,33.8348267,132.7866768
四国中央市川之江町長須,四国中央市,コン柱,2023/04/29 00:12:01,open,"737465-1,2","220,21",,2,,,34.033411,133.587205
今治市伯方町木浦①,今治市,コン柱,2022/11/28 20:59:32,open,"737462-1,2,3","200,253,291",,3,,,34.216757,133.117269
東温市田窪②,東温市,コン柱,2022/06/01 00:00:00,open,"737437-10,11,12","77,177,178",,3,,,33.7887411,132.8575634
今治市宮窪町宮窪①,今治市,コン柱,2022/11/28 21:17:27,open,"737450-7,8,9","269,249,250",,3,,,34.17168,133.074761
