,場所,市区町村,場所補足,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,color,icon
280,松山市浅海原,松山市,,コン柱,open,3,,,"737316-7,8,9","127,128,126",,34.0087949,132.8007475,2022/06/01 00:00:00,green,signal
281,松山市浄瑠璃町,松山市,,コン柱,open,2,,,"737291-1,2","57,58",,33.749912,132.823354,2022/06/01 00:00:00,green,signal
282,松山市平井町,松山市,平井集会所,コン柱,open,3,,,"737325-1,2,3","110,108,109",,33.807028,132.830691,2022/06/01 00:00:00,green,signal
283,松山市高野町,松山市,,コン柱,open,3,,,"737565-9,10,11","19,46,213",,33.854254,132.810114,2023/05/04 11:30:36,green,signal
284,松山市小川谷,松山市,,コン柱,open,3,,,"737298-4,5,6","138,139,140",,33.92904,132.78689,2022/06/01 00:00:00,green,signal
285,松山市福角町,松山市,,コン柱,open,3,,,"737287-1,2,3","112,48,356",,33.90213,132.76381,2022/06/01 00:00:00,green,signal
286,松山市勝岡町,松山市,,コン柱,open,3,,,"737288-7,8,9","87,89,88",,33.89934,132.72775,2022/06/01 00:00:00,green,signal
287,松山市高浜町一丁目,松山市,,屋上,open,3,,,"737327-10,11,12","253,254,252",,33.87791,132.70362,2022/06/01 00:00:00,green,signal
288,【5G】松山市南白水三丁目,松山市,,コン柱,open,3,3,3,"737564-9,10,11","95,71,325",,33.86798,132.78911,2023/05/10 12:24:14,darkblue,plane
289,松山市祝谷東町,松山市,,コン柱,open,2,,,"737295-4,5","264,265",,33.85757,132.79019,2022/06/01 00:00:00,green,signal
290,【5G】松山市土居田町①,松山市,,コン柱,open,3,1,2,"737559-7,8,9","82,125,285",,33.820025,132.743806,2023/05/10 13:31:45,darkblue,plane
291,松山市問屋町,松山市,,コン柱,open,3,,,"737309-10,11,12","282,61,62",,33.864536,132.750225,2022/06/01 00:00:00,green,signal
292,松山市山越一丁目,松山市,,コン柱,open,3,,,"737309-7,8,9","325,324,326",,33.857221,132.7590543,2022/06/01 00:00:00,green,signal
293,松山市谷町,松山市,,コン柱,open,3,,,"737323-4,5,6","32,315,316",,33.88005561,132.7536683,2022/06/01 00:00:00,green,signal
294,松山市高岡町,松山市,愛麺,屋上,open,2,,,"737559-10,11","5,3",,33.8289,132.725997,2023/05/10 10:54:31,green,signal
295,松山市北斎院町②,松山市,,コン柱,open,2,,,"737562-7,8","255,218",,33.836856,132.727384,2023/05/10 11:03:28,green,signal
296,【5G】松山市南斎院町,松山市,,コン柱,open,2,1,2,"737311-1,2","338,337",,33.8454852,132.7312977,2022/06/01 00:00:00,darkblue,plane
297,松山市北梅本町①,松山市,,コン柱,open,3,,,"737286-1,2,3","259,258,260",,33.80880453,132.8576238,2022/06/01 00:00:00,green,signal
298,松山市窪野町,松山市,,コン柱,open,3,,,"737323-7,8,9","216,218,217",,33.73775877,132.846971,2022/06/01 00:00:00,green,signal
299,松山市北梅本町②,松山市,,コン柱,open,3,,,"737391-4,5,6","163,164,192",,33.8053752,132.8432565,2022/06/01 00:00:00,green,signal
300,松山市針田町,松山市,,コン柱,open,3,,,"737561-10,11,12","122,327,250",,33.825231,132.737332,2023/03/31 16:37:19,green,signal
301,松山市西石井二丁目,松山市,,コン柱,open,3,,,"737301-4,5,6","89,87,88",,33.81856524,132.7726035,2022/06/01 00:00:00,green,signal
302,松山市松末二丁目,松山市,,コン柱,open,3,,,"737286-10,11,12","243,245,244",,33.82452506,132.7905841,2022/06/01 00:00:00,green,signal
